id_presupuesto,departamento_id,categoria_id,periodo_id,monto_presupuestado_2026
1,1.0,1.0,13,44433.44
2,1.0,1.0,14,43347.47
3,1.0,1.0,15,43789.37
4,1.0,1.0,16,43697.78
5,1.0,1.0,17,44604.95
6,1.0,1.0,18,44499.32
7,1.0,1.0,19,44880.17
8,1.0,1.0,20,43456.93
9,1.0,1.0,21,44049.0
10,1.0,1.0,22,43355.92
11,1.0,1.0,23,43689.7
12,1.0,1.0,24,44196.47
13,2.0,1.0,13,34286.03
14,2.0,1.0,14,34526.9
15,2.0,1.0,15,35157.42
16,2.0,1.0,16,35010.72
17,2.0,1.0,17,34557.1
18,2.0,1.0,18,35072.68
19,2.0,1.0,19,35380.46
20,2.0,1.0,20,34258.03
21,2.0,1.0,21,35375.41
22,2.0,1.0,22,35224.88
23,2.0,1.0,23,34724.59
24,2.0,1.0,24,34466.29
25,3.0,1.0,13,49835.5
26,3.0,1.0,14,48620.56
27,3.0,1.0,15,48143.2
28,3.0,1.0,16,48150.98
29,3.0,1.0,17,49620.71
30,3.0,1.0,18,49143.5
31,3.0,1.0,19,49541.69
32,3.0,1.0,20,49390.18
33,3.0,1.0,21,49011.38
34,3.0,1.0,22,49866.63
35,3.0,1.0,23,48702.66
36,3.0,1.0,24,49042.33
37,4.0,1.0,13,24432.75
38,4.0,1.0,14,24229.32
39,4.0,1.0,15,24463.9
40,4.0,1.0,16,24189.61
41,4.0,1.0,17,24312.33
42,4.0,1.0,18,23676.9
43,4.0,1.0,19,23852.53
44,4.0,1.0,20,23911.84
45,4.0,1.0,21,23709.67
46,4.0,1.0,22,23857.25
47,4.0,1.0,23,23730.12
48,4.0,1.0,24,23900.84
49,5.0,1.0,13,48768.86
50,5.0,1.0,14,48243.35
51,5.0,1.0,15,48253.72
52,5.0,1.0,16,47941.98
53,5.0,1.0,17,48053.49
54,5.0,1.0,18,49352.8
55,5.0,1.0,19,48792.82
56,5.0,1.0,20,48717.34
57,5.0,1.0,21,47867.53
58,5.0,1.0,22,48950.15
59,5.0,1.0,23,47852.52
60,5.0,1.0,24,48271.72
61,6.0,1.0,13,26758.29
62,6.0,1.0,14,26391.37
63,6.0,1.0,15,26304.18
64,6.0,1.0,16,26438.2
65,6.0,1.0,17,26604.31
66,6.0,1.0,18,26534.14
67,6.0,1.0,19,25959.97
68,6.0,1.0,20,25753.21
69,6.0,1.0,21,26050.67
70,6.0,1.0,22,26000.58
71,6.0,1.0,23,25940.99
72,6.0,1.0,24,26709.35
73,1.0,2.0,13,8364.05
74,1.0,2.0,14,8178.92
75,1.0,2.0,15,8291.23
76,1.0,2.0,16,8205.6
77,1.0,2.0,17,8376.64
78,1.0,2.0,18,8226.43
79,1.0,2.0,19,8162.5
80,1.0,2.0,20,8156.49
81,1.0,2.0,21,8260.23
82,1.0,2.0,22,8161.8
83,1.0,2.0,23,8267.88
84,1.0,2.0,24,8371.12
85,1.0,4.0,13,5129.28
86,1.0,4.0,14,5092.18
87,1.0,4.0,15,5252.5
88,1.0,4.0,16,5151.97
89,1.0,4.0,17,5065.73
90,1.0,4.0,18,5056.7
91,1.0,4.0,19,5069.59
92,1.0,4.0,20,5176.25
93,1.0,4.0,21,5210.17
94,1.0,4.0,22,5133.96
95,1.0,4.0,23,5060.09
96,1.0,4.0,24,5125.61
97,1.0,5.0,13,2626.1
98,1.0,5.0,14,2578.0
99,1.0,5.0,15,2623.52
100,1.0,5.0,16,2612.16
101,1.0,5.0,17,2524.68
102,1.0,5.0,18,2597.73
103,1.0,5.0,19,2593.72
104,1.0,5.0,20,2578.81
105,1.0,5.0,21,2550.98
106,1.0,5.0,22,2589.52
107,1.0,5.0,23,2534.99
108,1.0,5.0,24,2568.28
109,2.0,2.0,13,6168.56
110,2.0,2.0,14,6292.19
111,2.0,2.0,15,6272.91
112,2.0,2.0,16,6121.51
113,2.0,2.0,17,6180.14
114,2.0,2.0,18,6100.57
115,2.0,2.0,19,6282.0
116,2.0,2.0,20,6271.59
117,2.0,2.0,21,6130.18
118,2.0,2.0,22,6214.35
119,2.0,2.0,23,6206.93
120,2.0,2.0,24,6094.18
121,2.0,3.0,13,4163.26
122,2.0,3.0,14,4126.49
123,2.0,3.0,15,4165.92
124,2.0,3.0,16,4125.01
125,2.0,3.0,17,4037.69
126,2.0,3.0,18,4091.02
127,2.0,3.0,19,4040.81
128,2.0,3.0,20,4190.72
129,2.0,3.0,21,4182.42
130,2.0,3.0,22,4174.66
131,2.0,3.0,23,4088.28
132,2.0,3.0,24,4047.15
133,2.0,5.0,13,3136.72
134,2.0,5.0,14,3145.24
135,2.0,5.0,15,3038.79
136,2.0,5.0,16,3088.27
137,2.0,5.0,17,3036.76
138,2.0,5.0,18,3122.21
139,2.0,5.0,19,3122.86
140,2.0,5.0,20,3044.07
141,2.0,5.0,21,3086.94
142,2.0,5.0,22,3096.16
143,2.0,5.0,23,3060.96
144,2.0,5.0,24,3136.03
145,3.0,2.0,13,22590.33
146,3.0,2.0,14,22398.77
147,3.0,2.0,15,22695.62
148,3.0,2.0,16,22868.41
149,3.0,2.0,17,22389.12
150,3.0,2.0,18,22489.34
151,3.0,2.0,19,23108.8
152,3.0,2.0,20,22795.85
153,3.0,2.0,21,22603.9
154,3.0,2.0,22,22675.93
155,3.0,2.0,23,22316.47
156,3.0,2.0,24,22410.46
157,3.0,4.0,13,9209.96
158,3.0,4.0,14,9302.74
159,3.0,4.0,15,9169.93
160,3.0,4.0,16,9166.26
161,3.0,4.0,17,9110.93
162,3.0,4.0,18,9318.62
163,3.0,4.0,19,9169.49
164,3.0,4.0,20,9420.33
165,3.0,4.0,21,9403.35
166,3.0,4.0,22,9110.88
167,3.0,4.0,23,9172.85
168,3.0,4.0,24,9332.65
169,4.0,3.0,13,36675.93
170,4.0,3.0,14,36554.35
171,4.0,3.0,15,37746.3
172,4.0,3.0,16,37205.43
173,4.0,3.0,17,37059.44
174,4.0,3.0,18,37522.38
175,4.0,3.0,19,37556.33
176,4.0,3.0,20,36640.56
177,4.0,3.0,21,36501.84
178,4.0,3.0,22,36997.68
179,4.0,3.0,23,36986.59
180,4.0,3.0,24,37051.06
181,4.0,2.0,13,4278.85
182,4.0,2.0,14,4269.4
183,4.0,2.0,15,4322.12
184,4.0,2.0,16,4171.9
185,4.0,2.0,17,4223.49
186,4.0,2.0,18,4212.75
187,4.0,2.0,19,4301.34
188,4.0,2.0,20,4197.38
189,4.0,2.0,21,4187.46
190,4.0,2.0,22,4231.29
191,4.0,2.0,23,4226.75
192,4.0,2.0,24,4202.44
193,5.0,4.0,13,29382.97
194,5.0,4.0,14,30182.5
195,5.0,4.0,15,29612.49
196,5.0,4.0,16,30108.99
197,5.0,4.0,17,29739.74
198,5.0,4.0,18,29146.46
199,5.0,4.0,19,30272.75
200,5.0,4.0,20,30078.93
201,5.0,4.0,21,30236.8
202,5.0,4.0,22,30186.18
203,5.0,4.0,23,30093.97
204,5.0,4.0,24,29283.85
205,5.0,5.0,13,4237.56
206,5.0,5.0,14,4191.45
207,5.0,5.0,15,4223.22
208,5.0,5.0,16,4165.14
209,5.0,5.0,17,4219.48
210,5.0,5.0,18,4322.31
211,5.0,5.0,19,4200.18
212,5.0,5.0,20,4288.18
213,5.0,5.0,21,4232.37
214,5.0,5.0,22,4226.94
215,5.0,5.0,23,4317.56
216,5.0,5.0,24,4324.03
217,6.0,2.0,13,7226.09
218,6.0,2.0,14,7272.98
219,6.0,2.0,15,7110.44
220,6.0,2.0,16,7151.37
221,6.0,2.0,17,7345.18
222,6.0,2.0,18,7232.84
223,6.0,2.0,19,7222.16
224,6.0,2.0,20,7281.51
225,6.0,2.0,21,7082.29
226,6.0,2.0,22,7234.28
227,6.0,2.0,23,7210.82
228,6.0,2.0,24,7311.72
229,6.0,4.0,13,3047.66
230,6.0,4.0,14,3146.95
231,6.0,4.0,15,3038.1
232,6.0,4.0,16,3051.17
233,6.0,4.0,17,3101.74
234,6.0,4.0,18,3111.66
235,6.0,4.0,19,3057.27
236,6.0,4.0,20,3043.02
237,6.0,4.0,21,3138.23
238,6.0,4.0,22,3058.64
239,6.0,4.0,23,3101.68
240,6.0,4.0,24,3104.76
