id_gasto,departamento_id,categoria_id,periodo_id,monto_gasto_esperado
1,1.0,1.0,13,43972.84
2,1.0,1.0,14,44760.18
3,1.0,1.0,15,43699.65
4,1.0,1.0,16,44354.01
5,1.0,1.0,17,45196.75
6,1.0,1.0,18,44301.58
7,1.0,1.0,19,42882.13
8,1.0,1.0,20,45189.5
9,1.0,1.0,21,44464.92
10,1.0,1.0,22,44201.33
11,1.0,1.0,23,42978.28
12,1.0,1.0,24,44032.79
13,2.0,1.0,13,36636.25
14,2.0,1.0,14,34526.9
15,2.0,1.0,15,36332.26
16,2.0,1.0,16,35880.78
17,2.0,1.0,17,35719.06
18,2.0,1.0,18,36630.35
19,2.0,1.0,19,36569.71
20,2.0,1.0,20,34886.89
21,2.0,1.0,21,34771.96
22,2.0,1.0,22,34224.94
23,2.0,1.0,23,35791.83
24,2.0,1.0,24,33646.44
25,3.0,1.0,13,48901.36
26,3.0,1.0,14,50735.73
27,3.0,1.0,15,47711.19
28,3.0,1.0,16,51345.26
29,3.0,1.0,17,52580.45
30,3.0,1.0,18,51346.99
31,3.0,1.0,19,51225.62
32,3.0,1.0,20,51118.54
33,3.0,1.0,21,51960.56
34,3.0,1.0,22,50996.82
35,3.0,1.0,23,51745.27
36,3.0,1.0,24,50247.15
37,4.0,1.0,13,24425.65
38,4.0,1.0,14,24459.31
39,4.0,1.0,15,26624.39
40,4.0,1.0,16,24189.61
41,4.0,1.0,17,26622.12
42,4.0,1.0,18,25381.38
43,4.0,1.0,19,26338.36
44,4.0,1.0,20,26182.5
45,4.0,1.0,21,26694.33
46,4.0,1.0,22,24507.76
47,4.0,1.0,23,24440.42
48,4.0,1.0,24,24712.07
49,5.0,1.0,13,49132.33
50,5.0,1.0,14,48473.58
51,5.0,1.0,15,53081.06
52,5.0,1.0,16,54879.79
53,5.0,1.0,17,53459.35
54,5.0,1.0,18,50006.37
55,5.0,1.0,19,50962.29
56,5.0,1.0,20,54619.22
57,5.0,1.0,21,47867.53
58,5.0,1.0,22,51328.86
59,5.0,1.0,23,54073.49
60,5.0,1.0,24,55295.71
61,6.0,1.0,13,25258.02
62,6.0,1.0,14,25570.25
63,6.0,1.0,15,25598.13
64,6.0,1.0,16,26419.38
65,6.0,1.0,17,26101.31
66,6.0,1.0,18,26126.98
67,6.0,1.0,19,26533.56
68,6.0,1.0,20,25741.35
69,6.0,1.0,21,25214.55
70,6.0,1.0,22,26195.46
71,6.0,1.0,23,26016.2
72,6.0,1.0,24,25926.64
73,1.0,2.0,13,8403.51
74,1.0,2.0,14,8323.15
75,1.0,2.0,15,8097.67
76,1.0,2.0,16,8129.39
77,1.0,2.0,17,8267.27
78,1.0,2.0,18,8001.32
79,1.0,2.0,19,8175.24
80,1.0,2.0,20,8166.74
81,1.0,2.0,21,8088.01
82,1.0,2.0,22,8351.03
83,1.0,2.0,23,8404.45
84,1.0,2.0,24,8055.38
85,1.0,4.0,13,5192.6
86,1.0,4.0,14,5140.55
87,1.0,4.0,15,5261.78
88,1.0,4.0,16,5207.62
89,1.0,4.0,17,5231.71
90,1.0,4.0,18,5113.03
91,1.0,4.0,19,5089.86
92,1.0,4.0,20,5231.18
93,1.0,4.0,21,5049.2
94,1.0,4.0,22,5085.5
95,1.0,4.0,23,5067.63
96,1.0,4.0,24,5041.54
97,1.0,5.0,13,2589.69
98,1.0,5.0,14,2604.15
99,1.0,5.0,15,2565.38
100,1.0,5.0,16,2536.43
101,1.0,5.0,17,2586.78
