id_ejecucion,departamento,categoria,anio,mes,monto_ejecutado,fecha_registro
1,Atencion al Cliente,Nomina y Personal,2025,1,42692.08,2025-01-09
2,At. Cliente,Nomina y Personal,2025,2,43456.48,2025-02-21
3,Atencion al Cliente,Nomina y Personal,2025,3,"42,426.84 EUR",2025-03-15
4,ATENCION AL CLIENTE,Nomina y Personal,2025,4,43062.15,2025-04-05
5,Atencion al Cliente,Nomina y Personal,2025,5,43880.34,2025-05-06
6,Atencion al Cliente,Nomina y Personal,2025,6,43011.24,2025-06-26
7,Atencion al Cliente,Nomina y Personal,2025,7,41633.14,2025-07-22
8,Atencion al Cliente,Nomina y Personal,2025,8,43873.3,2025-08-05
9,Atencion al Cliente,Nomina y Personal,2025,9,43169.83,2025-09-21
10,Atencion al Cliente,Nomina y Personal,2025,10,"42913,92",2025-10-14
11,Atencion al Cliente,Nomina y Personal,2025,11,41726.48,2025-11-09
12,Atencion al Cliente,Nomina y Personal,2025,12,42750.28,2025-12-04
13,Ventas B2B,Nomina y Personal,2025,1,35569.18,2025-01-27
14,Ventas B2B,Nomina y Personal,2025,2,N/D,2025-02-12
15,Ventas B2B,Nomina y Personal,2025,3,35274.04,2025-03-07
16,Ventas B2B,Nomina y Personal,2025,4,34835.71,2025-04-28
17,VENTAS B2B,Nomina y Personal,2025,5,34678.7,2025-05-26
18,ventas b2b ,Nomina y Personal,2025,6,35563.45,2025-06-14
19,Ventas B2B,Nomina y Personal,2025,7,35504.57,2025-07-26
20,Ventas Corporativas B2B,Nomina y Personal,2025,8,33870.76,2025-08-27
21,Ventas B2B,Nomina y Personal,2025,9,33759.19,2025-09-08
22,Ventas B2B,Nomina y Personal,2025,10,33228.09,2025-10-25
23,Ventas B2B,Nomina y Personal,2025,11,34749.35,2025-11-18
24,Ventas B2B,Nomina y Personal,2025,12,32666.45,2025-12-19
25,operaciones y logistica,Nomina y Personal,2025,1,47477.05,2025-01-26
26,Operaciones y Logistica,Nomina y Personal,2025,2,49257.99,2025-02-19
27,Operaciones y Logistica,Nomina y Personal,2025,3,46321.54,2025-03-26
28,Operaciones y Logistica,Nomina y Personal,2025,4,49849.76,2025-04-12
29,Operaciones y Logistica,Nomina y Personal,2025,5,51048.98,2025-05-22
30,Operaciones y Logistica,Nomina y Personal,2025,6,49851.45,2025-06-14
31,Operaciones y Logistica,Nomina y Personal,2025,7,49733.61,2025-07-22
32,Operaciones y Logistica,Nomina y Personal,2025,8,49629.65,2025-08-10
33,Operaciones y Logistica,Nomina y Personal,2025,9,50447.14,2025-09-26
34,Operaciones y Logistica,Nomina y Personal,2025,10,49511.47,2025-10-07
35,Operaciones y Logistica,Nomina y Personal,2025,11,50238.13,2025-11-22
36,Operaciones y Logistica,Nomina y Personal,2025,12,48783.64,2025-12-27
37,Marketing,Nomina y Personal,2025,1,23043.06,2025-01-05
38,Marketing,Nomina y Personal,2025,2,23074.82,2025-02-03
39,Marketing,Nomina y Personal,2025,3,25117.35,2025-03-13
40,Marketing,Nomina y Personal,2025,4,,2025-04-25
41,Marketing,Nomina y Personal,2025,5,25115.21,2025-05-26
42,MARKETING,Nomina y Personal,2025,6,23944.7,2025-06-04
43,Marketing,Nomina y Personal,2025,7,24847.51,2025-07-20
44,Marketing,Nomina y Personal,2025,8,24700.47,2025-08-17
45,Marketing,Nomina y Personal,2025,9,25183.33,2025-09-28
46,marketing ,Nomina y Personal,2025,10,23120.53,2025-10-17
47,Marketing,Nomina y Personal,2025,11,23057.0,2025-11-08
48,Marketing,Nomina y Personal,2025,12,23313.27,2025-12-08
49,Tecnologia/TI,Nomina y Personal,2025,1,46351.26,2025-01-18
50,Tecnologia y TI,Nomina y Personal,2025,2,45729.79,2025-02-25
51,Tecnologia y TI,Nomina y Personal,2025,3,50076.47,2025-03-13
52,Tecnologia/TI,Nomina y Personal,2025,4,51773.38,2025-04-27
53,Tecnologia y TI,Nomina y Personal,2025,5,50433.35,2025-05-08
54,Tecnologia y TI,Nomina y Personal,2025,6,47175.83,2025-06-22
55,Tecnologia/TI,Nomina y Personal,2025,7,48077.63,2025-07-20
56,Tecnologia y TI,Nomina y Personal,2025,8,51527.56,2025-08-03
57,Tecnologia y TI,Nomina y Personal,2025,9,N/D,2025-09-13
58,Tecnologia y TI,Nomina y Personal,2025,10,48423.46,2025-10-09
59,Tecnologia y TI,Nomina y Personal,2025,11,51012.73,2025-11-24
