periodo_id,Año,mes_num,Mes,Trimestre
1,2025,1,Enero,Q1
2,2025,2,Febrero,Q1
3,2025,3,Marzo,Q1
4,2025,4,Abril,Q2
5,2025,5,Mayo,Q2
6,2025,6,Junio,Q2
7,2025,7,Julio,Q3
8,2025,8,Agosto,Q3
9,2025,9,Septiembre,Q3
10,2025,10,Octubre,Q4
11,2025,11,Noviembre,Q4
12,2025,12,Diciembre,Q4
13,2026,1,Enero,Q1
14,2026,2,Febrero,Q1
15,2026,3,Marzo,Q1
16,2026,4,Abril,Q2
17,2026,5,Mayo,Q2
18,2026,6,Junio,Q2
19,2026,7,Julio,Q3
20,2026,8,Agosto,Q3
21,2026,9,Septiembre,Q3
22,2026,10,Octubre,Q4
23,2026,11,Noviembre,Q4
24,2026,12,Diciembre,Q4
