id_presupuesto,departamento_id,categoria_id,periodo_id,monto_presupuestado
1,1,1,1,43139.26
2,1,1,2,42084.92
3,1,1,3,42513.95
4,1,1,4,42425.03
5,1,1,5,43305.78
6,1,1,6,43203.22
7,1,1,7,43572.98
8,1,1,8,42191.19
9,1,1,9,42766.02
10,1,1,10,42093.13
11,1,1,11,42417.18
12,1,1,12,42909.19
13,2,1,1,33287.41
14,2,1,2,33521.26
15,2,1,3,34133.42
16,2,1,4,33990.99
17,2,1,5,33550.58
18,2,1,6,34051.15
19,2,1,7,34349.96
20,2,1,8,33260.22
21,2,1,9,34345.06
22,2,1,10,34198.91
23,2,1,11,33713.19
24,2,1,12,33462.42
25,3,1,1,48383.98
26,3,1,2,47204.43
27,3,1,3,46740.97
28,3,1,4,46748.52
29,3,1,5,48175.45
30,3,1,6,47712.14
31,3,1,7,48098.73
32,3,1,8,47951.63
33,3,1,9,47583.86
34,3,1,10,48414.2
35,3,1,11,47284.14
36,3,1,12,47613.91
37,4,1,1,23049.76
38,4,1,2,22857.85
39,4,1,3,23079.15
40,4,1,4,22820.39
41,4,1,5,22936.16
42,4,1,6,22336.7
43,4,1,7,22502.39
44,4,1,8,22558.34
45,4,1,9,22367.61
46,4,1,10,22506.84
47,4,1,11,22386.91
48,4,1,12,22547.96
49,5,1,1,46008.36
50,5,1,2,45512.59
51,5,1,3,45522.38
52,5,1,4,45228.28
53,5,1,5,45333.48
54,5,1,6,46559.25
55,5,1,7,46030.96
56,5,1,8,45959.75
57,5,1,9,45158.05
58,5,1,10,46179.39
59,5,1,11,45143.89
60,5,1,12,45539.36
61,6,1,1,25978.92
62,6,1,2,25622.69
63,6,1,3,25538.04
64,6,1,4,25668.16
65,6,1,5,25829.43
66,6,1,6,25761.3
67,6,1,7,25203.85
68,6,1,8,25003.12
69,6,1,9,25291.91
70,6,1,10,25243.28
71,6,1,11,25185.43
72,6,1,12,25931.41
73,1,2,1,8120.44
74,1,2,2,7940.7
75,1,2,3,8049.74
76,1,2,4,7966.6
77,1,2,5,8132.66
78,1,2,6,7986.83
79,1,2,7,7924.76
80,1,2,8,7918.92
81,1,2,9,8019.64
82,1,2,10,7924.08
83,1,2,11,8027.07
84,1,2,12,8127.3
85,1,4,1,4979.88
86,1,4,2,4943.86
87,1,4,3,5099.51
88,1,4,4,5001.91
89,1,4,5,4918.18
90,1,4,6,4909.42
91,1,4,7,4921.93
92,1,4,8,5025.49
93,1,4,9,5058.42
94,1,4,10,4984.43
95,1,4,11,4912.71
96,1,4,12,4976.32
97,1,5,1,2549.61
98,1,5,2,2502.91
99,1,5,3,2547.11
100,1,5,4,2536.08
101,1,5,5,2451.15
102,1,5,6,2522.07
103,1,5,7,2518.17
104,1,5,8,2503.7
105,1,5,9,2476.68
106,1,5,10,2514.1
107,1,5,11,2461.16
108,1,5,12,2493.48
109,2,2,1,5988.89
110,2,2,2,6108.92
111,2,2,3,6090.2
112,2,2,4,5943.21
113,2,2,5,6000.14
114,2,2,6,5922.88
115,2,2,7,6099.03
116,2,2,8,6088.92
