id_ejecucion,departamento_id,categoria_id,periodo_id,monto_ejecutado,fue_corregido_signo
1,1,1,1,42692.08,False
2,1,1,2,43456.48,False
3,1,1,3,42426.84,False
4,1,1,4,43062.15,False
5,1,1,5,43880.34,False
6,1,1,6,43011.24,False
7,1,1,7,41633.14,False
8,1,1,8,43873.3,False
9,1,1,9,43169.83,False
10,1,1,10,42913.92,False
11,1,1,11,41726.48,False
12,1,1,12,42750.28,False
13,2,1,1,35569.18,False
14,2,1,3,35274.04,False
15,2,1,4,34835.71,False
16,2,1,5,34678.7,False
17,2,1,6,35563.45,False
18,2,1,7,35504.57,False
19,2,1,8,33870.76,False
20,2,1,9,33759.19,False
21,2,1,10,33228.09,False
22,2,1,11,34749.35,False
23,2,1,12,32666.45,False
24,3,1,1,47477.05,False
25,3,1,2,49257.99,False
26,3,1,3,46321.54,False
27,3,1,4,49849.76,False
28,3,1,5,51048.98,False
29,3,1,6,49851.45,False
30,3,1,7,49733.61,False
31,3,1,8,49629.65,False
32,3,1,9,50447.14,False
33,3,1,10,49511.47,False
34,3,1,11,50238.13,False
35,3,1,12,48783.64,False
36,4,1,1,23043.06,False
37,4,1,2,23074.82,False
38,4,1,3,25117.35,False
39,4,1,5,25115.21,False
40,4,1,6,23944.7,False
41,4,1,7,24847.51,False
42,4,1,8,24700.47,False
43,4,1,9,25183.33,False
44,4,1,10,23120.53,False
45,4,1,11,23057.0,False
46,4,1,12,23313.27,False
47,5,1,1,46351.26,False
48,5,1,2,45729.79,False
49,5,1,3,50076.47,False
50,5,1,4,51773.38,False
51,5,1,5,50433.35,False
52,5,1,6,47175.83,False
53,5,1,7,48077.63,False
54,5,1,8,51527.56,False
55,5,1,10,48423.46,False
56,5,1,11,51012.73,False
57,5,1,12,52165.77,False
58,6,1,1,24522.35,False
59,6,1,2,24825.49,True
60,6,1,3,24852.55,False
61,6,1,4,25649.89,True
62,6,1,5,25341.08,False
63,6,1,6,25366.0,False
64,6,1,7,25760.73,False
65,6,1,8,24991.61,False
66,6,1,9,24480.14,False
67,6,1,10,25432.48,False
68,6,1,11,25258.45,False
69,6,1,12,25171.5,False
70,1,2,1,8158.75,False
71,1,2,2,8080.73,False
72,1,2,3,7861.82,False
73,1,2,4,7892.61,False
74,1,2,5,8026.48,False
75,1,2,6,7768.28,False
76,1,2,7,7937.13,False
77,1,2,8,7928.87,False
78,1,2,9,7852.44,False
79,1,2,10,8107.8,False
80,1,2,11,8159.66,False
81,1,2,12,7820.76,False
82,1,4,1,5041.36,True
83,1,4,2,4990.82,False
84,1,4,3,5108.52,False
85,1,4,4,5055.94,False
86,1,4,5,5079.33,False
87,1,4,6,4964.11,False
88,1,4,7,4941.61,False
89,1,4,8,5078.82,False
90,1,4,9,4902.14,False
91,1,4,10,4937.38,False
92,1,4,11,4920.03,False
93,1,4,12,4894.7,False
94,1,5,1,2514.26,False
95,1,5,2,2528.3,False
96,1,5,3,2490.66,False
97,1,5,4,2462.56,False
98,1,5,5,2511.44,False
99,1,5,6,2562.41,False
100,1,5,7,2495.5,False
