periodo_id,anio,mes,total_ingresos,total_gastos,margen_operativo,margen_operativo_pct,crecimiento_ingresos_mom
1,2025,1,475285.0,364072.3,111212.70000000001,0.23399160503697783,
2,2025,2,479306.77,332116.98,147189.79000000004,0.3070889025832037,0.008461807126250553
3,2025,3,494354.02999999997,368224.44,126129.58999999997,0.2551402079194135,0.03139379817230603
4,2025,4,495937.39,353320.5,142616.89,0.2875703523785533,0.0032028868056361848
5,2025,5,510113.12,373165.18,136947.94,0.2684658257760553,0.02858370892341866
6,2025,6,505783.25,363579.91,142203.34000000003,0.28115470411485555,-0.008488058491810557
7,2025,7,495698.39,360503.0,135195.39,0.27273719811758923,-0.019939094463883422
8,2025,8,466280.51,374899.55,91380.96000000002,0.19597851087535273,-0.05934632952913166
9,2025,9,534299.61,314041.18,220258.43,0.41223767690940294,0.1458759234864866
10,2025,10,535287.52,366279.79,169007.73000000004,0.3157326178648813,0.001848981323419041
11,2025,11,541366.19,373279.94,168086.24999999994,0.31048531124560985,0.011355897107408586
12,2025,12,562222.2,363372.74,198849.45999999996,0.35368482425631714,0.03852477377650798
